Swedish Medical Center Foundation|910983214|Approved|747 Broadway|Seattle|WA|98122|Ms. Susan Hoffman|Finance Manager|(206) 386-2741|(206) 320-3160|www.swedish.org|Human Services|Care and treatment of patients, offering a full range of health care services.Swedish Medical Center Foundation: To improve the health and lives of community members by providing charitable support to Sacred Heart Medical Center.Swedish Medical Center Foundation: To improve the health and well-being of each person we serve.
American Heart Association Inc|135613797|Approved|710 Second Avenue|Seattle|WA|98104|Elly Henderson|Office Coordinator|(206) 632-6881|(206) 632-8478|www.heart.org|Human Services|To reduce disability and death from cardiovascular disease and stroke.American Stroke Association: To reduce disability and death from cardiovascular disease and stroke.
KCTS Television|911221895|Approved|401 Mercer Street|Seattle|WA|98109-4699|Mr. Brett Coffee|Manager Member Services|(206) 443-6784|(206) 443-6691|www.kcts9.org|Arts & Culture|KCTS Television: To serve the public television community through a dynamic network of organizations that provide program distribution, digital television, analog and cable channels, program production and distribution, community outreach, retail activities and more.KCTS Television: KCTS Television: To serve the public television community through a dynamic network of organizations that provide program distribution, digital television, analog and cable channels, program production and distribution, community outreach, retail activities and more.KCTS Television: To improve the quality of life in the communities we serve by providing meaningful programming on air, online and in the community that informs, involves and inspires.
KPLU|910565571|Approved|12182 Park Avenue South|Tacoma|WA|98447|Ms. Sarah McAtee|Data & Gift Processing|(253) 535-7702|(253) 535-8769|www.kplu.org/|Arts & Culture|A member station of National Public Radio, KPLU provides music and news seven days a week, 24 hours a day, with a professional staff augmented by qualified students.  PLU is the only independent university in the Northwest operating a full power NPR station.Pacific Lutheran University: Produces and presents a wide range of programming of the highest professionalism and quality.
KUOW|912079402|Approved|4518 University Way NE|Seattle|WA|98105|Ms. Elizabeth Hovance|Director, Research & Analysis|(206) 616-9013|(206) 543-2720|http://www.kuow.org/|Arts & Culture|To create and serve an informed public, one challenged and invigorated by an understanding and appreciation of events, ideas, and cultures.KUOW Puget Sound Public Radio: To create and serve an informed public, one challenged and invigorated by an understanding and appreciation of events, ideas and cultures.
Market Foundation|911197625|Approved|85 Pike Street, Room 500|Seattle|WA|98101|Ms. Rainelle Sizemore|Systems Coordinator|(206) 774-5243|(206) 682-7447|www.pikeplacemarketfoundation.org|Human Services|Provides a home to 500 residents, most of whom are low-income seniors, as well as a variety of services for the needy.
Lifelong|911215715|Approved|PO Box 80547|Seattle|WA|98108|Aya Mizoroki|Development Clerk|(206) 328-8979|(206) 325-2689|www.lifelongaidsalliance.org|Human Services|Committed to preventing the spread of HIV, and to providing practical support services and advocating for those whose lives are affected by HIV and AIDS.Lifelong AIDS Alliance: To ensure and maintain the highest quality of life for people living with HIV/AIDS, preventing the spread of HIV/AIDS, and advocating for all those whose lives have been affected by HIV/AIDS.Lifelong AIDS Alliance: To ensure and maintain the highest quality of life for people living with HIV/AIDS, preventing the spread of HIV/AIDS, and advocating for all those whose lives have been affected by HIV/AIDS.Lifelong AIDS Alliance: Committed to preventing the spread of HIV, and to providing practical support services and advocating for those whose lives are affected by HIV and AIDS.Lifelong AIDS Alliance: Improving the nutritional status of people living with HIV/AIDS and other life-challenging illnesses in Seattle/King County.
Southern Poverty Law Center Inc|630598743|Approved|400 Washington Avenue|Montgomery|AL|36104|Ms. Felecia Taylor|Special Gifts Coordinator|(334) 264-0286|(334) 264-6892|www.splcenter.org|Civic|To fight hate and bigotry, and to seeking justice for the most vulnerable members of society.
Princeton University|210634501|Approved|330 Alexander Street, Box 5357|Princeton|NJ|08543-5357|Ms. Helen Hardy|Gift Processing  Manager|(609) 258-8283|(609) 258-6773|www.princeton.edu|Education|To strive to be both one of the leading research universities and the most outstanding undergraduate college in the world.
Dartmouth College|20222111|Approved|6066 Development Office|Hanover|NH|03755-3555|Ms. Dorothea Kingsbury|Matching Gift Coordinator|(603) 646-0098|(603) 646-8654|http://www.dartmouth.edu|Education|The first graduate school of businessâ¬and is one of the top management schools in the world. Tuck offers only one degree programâ¬the full-time MBA.
University of Oregon Foundation|936015767|Approved|1720 E 13th Ave|Eugene|OR|97403-2253|Ms. Dianna DuClos|Gift Receipt Tech II|(541) 302-0290|(503) 344-8079|http://uofoundation.org|Education|To serve the university by assuming responsibility for development and financial support, by managing and administering Foundation assets, and by leading in advocacy of the university."
Virginia Polytechnic Institute|540721690|Approved|Alumni Hall, 201 Pack Building|Blacksburg|VA|24061-0336|Miss Erin Kinder|Matching Gift Coordinator|(540) 231-2889|(540) 231-8185|www.givingto.vt.edu|Education|The Foundation serves the university by generating significant funding from private sources and aggressively managing its assets to provide funding which supplement state appropriations.Hokie Spirit Memorial Fund: To remember and honor the victims of tragic events, the university has established the Hokie Spirit Memorial Fund to aid in the healing process and generate financial support.
AIDS ACTION Committee|222707246|Approved|75 Amory St|Boston|MA|02119|Ms. Matching Gifts|Development Officer|(617) 450-1215|(617) 437-6445|http://www.aac.org/|Human Services|To stop the epidemic by preventing new HIV infections and optimizing the health of those already infected.
Leukemia & Lymphoma Society Inc|135644916|Approved|Washington/Alaska Chapter|Seattle|WA|98107|Mrs. Anne Gillingham|Executive Director|(206) 628-0777|(206) 292-9791|www.lls.org/wa|Human Services|To cure leukemia, lymphoma, Hodgkin's disease and myeloma, and improve the quality of life of patients and their families.Leukemia & Lymphoma Society Inc: Cure leukemia, lymphoma, Hodgkin's disease and myeloma, and improve the quality of life of patients and their families.The Big Climb Seattle, Leukemia & Lymphoma Society: To cure leukemia, lymphoma, Hodgkin's disease, and myeloma and to improve the quality of life for patients and their families.
Oregon Shakespearean Festival Endowment Fund Inc|936041618|Approved|15 South Pioneer|Ashland|OR|97520|Ms. Carol Bue|Membership Supervisor|(503) 482-2111|(541) 482-6917|www.osfashland.org/|Arts & Culture|To productions of high quality of William Shakespeare's plays and other works of literary and theatrical value.Oregon Shakespeare Festival Association - Daedalus Project: Commits to the end of AIDs by an array of events
A Contemporary Theatre Inc|910787792|Approved|700 Union|Seattle|WA|98101|Mr. Kyle Thompson|Development Coordinator|(206) 285-3220|(206) 292-7670|http://www.acttheatre.org/|Arts & Culture|To produce a season of plays from April - November, including the holiday classic, A Christmas Carol in December, and a wide variety of smaller productions, readings and workshops throughout the year from its spectacular theatre facility in downtown Seattle.
Awana Clubs International|362428692|Approved|One East Bode Road|Streamwood|IL|60107-6658|Mrs. Melody Gateley|Corporate & Foundations Manager|(630) 213-2000|(630) 213-5986|www.awana.org|ReligiousParent|Christian youth ministry that partners with local churches to evangelize and train youth via Bible-based, Christ-centered, weekly club programs and leadership training.
People For Ethical Treatment Of Animals|521218336|Approved|501 Front Street|Norfolk|VA|23510|Jennifer McCloud|Income Coordinator|(757) 622-7382|(757) 628-0786|http://www.peta.org/|Civic|Dedicated to establishing and protecting the rights of all animals. PETA operates under the simple principle that animals are not ours to eat, wear, experiment on, or use for entertainment.
